"Date","Movement","Anger","Anticipation","Disgust","Fear","Joy","Sadness","Surprise","Trust","Negative","Positive"
"2008-09-15",1,10,4,4,16,3,6,3,11,19,11
"2008-09-16",0,13,8,6,16,9,5,5,17,19,24
"2008-09-17",1,8,7,2,13,5,8,4,9,17,18
"2008-09-18",0,16,7,7,15,8,10,4,9,24,13
"2008-09-19",0,8,5,5,10,4,7,3,12,20,16
"2008-09-22",1,7,8,7,13,5,8,3,7,17,9
"2008-09-23",1,12,16,6,12,6,5,4,15,20,21
"2008-09-24",1,16,10,5,18,7,10,7,16,21,21
"2008-09-25",0,13,8,4,18,7,9,5,11,20,13
"2008-09-26",0,7,8,5,14,3,7,5,10,15,13
"2008-09-29",1,15,9,7,20,6,15,9,10,25,16
"2008-09-30",0,6,13,2,12,7,6,4,14,14,16
"2008-10-01",1,12,2,6,16,7,6,2,9,22,13
"2008-10-02",1,9,6,3,10,2,9,4,11,16,16
"2008-10-03",1,8,5,4,9,5,5,3,4,16,12
"2008-10-06",1,9,8,4,14,6,8,5,6,17,10
"2008-10-07",1,4,10,2,9,2,4,2,11,14,14
"2008-10-08",1,11,5,7,16,5,9,5,8,19,14
"2008-10-09",1,16,9,9,28,5,15,3,14,28,21
"2008-10-10",1,7,3,4,13,1,8,2,7,17,8
"2008-10-13",0,7,8,4,11,7,6,6,9,17,14
"2008-10-14",1,9,7,7,13,6,7,4,13,16,18
"2008-10-15",1,10,11,6,16,5,14,3,12,23,17
"2008-10-16",0,11,13,7,16,8,8,5,14,18,20
"2008-10-17",1,7,8,3,9,4,8,3,7,17,20
"2008-10-20",0,13,7,5,13,1,10,3,8,23,10
"2008-10-21",1,12,12,5,14,6,6,6,14,21,17
"2008-10-22",1,15,13,8,18,5,10,9,20,24,19
"2008-10-23",0,10,8,4,17,6,13,3,10,23,17
"2008-10-24",1,12,7,9,16,6,12,4,12,20,13
"2008-10-27",1,20,15,13,20,7,14,5,16,32,24
"2008-10-28",0,8,9,8,14,7,9,4,13,22,17
"2008-10-29",1,10,7,4,13,4,7,6,6,21,10
"2008-10-30",0,17,14,13,19,8,14,8,14,30,21
"2008-10-31",0,10,7,8,19,5,10,4,11,22,14
"2008-11-03",1,11,5,2,19,5,10,4,8,20,9
"2008-11-04",0,17,7,10,24,6,14,4,15,28,14
"2008-11-05",1,9,5,3,12,3,6,4,8,17,12
"2008-11-06",1,4,10,7,10,7,8,4,15,20,19
"2008-11-07",0,9,7,5,11,4,8,0,11,16,13
"2008-11-10",1,14,13,4,22,3,6,6,13,19,17
"2008-11-11",1,13,10,6,16,3,11,1,9,23,11
"2008-11-12",1,13,8,7,14,7,10,3,13,20,19
"2008-11-13",0,11,6,2,14,5,14,6,11,20,18
"2008-11-14",1,7,6,4,11,6,7,3,9,15,16
"2008-11-17",1,7,7,4,13,4,7,3,10,20,17
"2008-11-18",0,8,6,0,11,3,3,1,11,19,13
"2008-11-19",1,12,12,9,21,8,15,5,9,32,17
"2008-11-20",1,5,9,6,6,4,7,3,6,14,14
"2008-11-21",0,9,12,2,10,11,8,8,18,16,23
"2008-11-24",0,9,7,6,15,7,9,5,12,20,18
"2008-11-25",0,16,9,8,18,9,9,5,21,25,22
"2008-11-26",0,18,5,7,18,5,14,6,7,25,12
"2008-11-28",0,7,5,7,13,5,8,2,8,21,14
"2008-12-01",1,11,7,5,12,4,10,4,10,22,8
"2008-12-02",0,11,9,8,14,5,9,3,15,18,14
"2008-12-03",0,19,11,9,20,6,14,8,20,30,19
"2008-12-04",1,18,11,12,24,10,17,6,12,27,21
"2008-12-05",0,20,10,13,20,7,15,8,12,28,14
"2008-12-08",0,13,3,5,21,3,12,5,10,25,15
"2008-12-09",1,9,11,9,21,4,11,6,11,27,11
"2008-12-10",0,14,5,7,15,4,11,1,8,29,12
"2008-12-11",1,11,6,7,18,7,16,5,13,23,20
"2008-12-12",0,13,11,9,20,5,13,8,10,30,17
"2008-12-15",1,7,5,2,5,6,2,3,8,13,11
"2008-12-16",0,7,9,6,16,7,9,5,17,20,19
"2008-12-17",1,16,7,7,16,4,15,5,5,22,9
"2008-12-18",1,9,7,3,16,5,8,2,13,21,15
"2008-12-19",1,16,13,6,19,6,12,4,16,24,16
"2008-12-22",1,20,18,11,30,6,17,8,15,38,26
"2008-12-23",1,15,5,2,15,4,8,4,12,20,14
"2008-12-24",0,5,5,3,11,9,5,2,14,12,25
"2008-12-26",0,16,5,9,20,3,10,2,4,22,13
"2008-12-29",1,12,6,7,15,2,10,4,8,24,11
"2008-12-30",0,17,7,7,20,6,12,6,18,23,22
"2008-12-31",0,9,8,3,12,7,5,6,15,20,15
"2009-01-02",0,16,7,5,16,5,9,5,12,22,16
"2009-01-05",1,13,8,7,19,5,10,5,13,23,22
"2009-01-06",0,8,5,3,12,2,7,3,6,14,10
"2009-01-07",1,9,7,4,15,3,7,4,12,18,16
"2009-01-08",1,15,11,2,13,8,5,5,12,20,20
"2009-01-09",1,7,7,4,14,5,5,2,14,14,14
"2009-01-12",1,8,10,3,16,6,9,4,11,18,16
"2009-01-13",1,11,13,7,17,6,10,5,12,23,19
"2009-01-14",1,18,7,11,23,3,14,4,11,29,15
"2009-01-15",0,10,9,8,14,7,12,5,11,19,21
"2009-01-16",0,8,6,3,14,4,8,4,17,23,17
"2009-01-20",1,12,7,9,15,5,12,2,8,20,14
